[2026-01-15T13:41:48.894Z] [SESSION] [NativeLoader] ✓ SUCCÈS: screenshot-desktop chargé via createRequire
[2026-01-15T13:41:48.961Z] [SESSION] [NativeLoader] ✓ SUCCÈS: robotjs chargé depuis unpacked
[2026-01-15T13:41:49.091Z] [SESSION] [NativeLoader] ✓ SUCCÈS: node-window-manager chargé depuis unpacked
[2026-01-15T13:41:49.221Z] [SESSION] [[DB]] ✅ Connexion PostgreSQL réussie
[2026-01-15T13:41:49.259Z] [SESSION] [[DB]] ✅ Tables disponibles: | DATA: {"count":10,"tables":["users","bot_sessions","poker_tables","hand_histories","humanizer_config","gto_config","platform_config","action_logs","bot_stats","player_profile_state"]}
[2026-01-15T13:46:08.847Z] [SESSION] [SessionManager] 🚀 Démarrage session demandé
[2026-01-15T13:46:08.927Z] [SESSION] [[Storage]] ✅ Session bot créée | DATA: {"sessionId":"59cb2908-c906-4ea2-99bd-18efa2ad5512","status":"running"}
[2026-01-15T13:46:08.928Z] [SESSION] [SessionManager] ✅ Session créée | DATA: {"sessionId":"59cb2908-c906-4ea2-99bd-18efa2ad5512"}
[2026-01-15T13:46:08.945Z] [SESSION] [SessionManager] 🔌 Initialisation PlatformManager | DATA: {"platform":"ggclub"}
[2026-01-15T13:46:08.946Z] [SESSION] [PlatformManager] Tentative de connexion | DATA: {"platform":"ggclub","username":"Danny3000"}
[2026-01-15T13:46:08.965Z] [SESSION] [GGClubAdapter] ✅ BOT CONNECTÉ ET PRÊT | DATA: {"status":"connected","platform":"GGClub"}
[2026-01-15T13:46:08.966Z] [SESSION] [PlatformManager] ✅ CONNECTÉ à ggclub | DATA: {"username":"Danny3000"}
[2026-01-15T13:46:08.998Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:09.013Z] [SESSION] [SessionManager] ✅ PlatformManager initialisé avec succès
[2026-01-15T13:46:11.099Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:13.108Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:14.182Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:15.111Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:17.124Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:19.108Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:19.209Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:21.283Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:23.327Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:24.206Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:25.307Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
